Date;Asset;Open;High;Low;Close; Volume ;Decision;OpenInterest
31/10/2017;ICFFUT;264,52;264,86;262,81;263,32; R$6.875.376,35 ;Neutral;2971
30/10/2017;ICFFUT;268,01;269,03;264,69;265,11; R$7.989.904,74 ;Neutral;3012
27/10/2017;ICFFUT;262,9;268,44;262,47;267,84; R$13.630.763,26 ;Neutral;3068
26/10/2017;ICFFUT;262,47;263,92;260,77;262,3; R$6.037.564,45 ;Neutral;3038
25/10/2017;ICFFUT;259,06;264,09;258,21;262,73; R$5.908.426,10 ;Neutral;3132
24/10/2017;ICFFUT;264,01;264,77;259,57;259,57; R$12.310.530,64 ;Neutral;3132
23/10/2017;ICFFUT;263,24;266,99;261,28;263,58; R$15.971.832,94 ;Neutral;3169
20/10/2017;ICFFUT;267,07;268,52;262,22;262,47; R$16.741.755,75 ;Neutral;3145
19/10/2017;ICFFUT;262,13;268,78;261,96;267,5; R$16.264.822,98 ;Neutral;3190
18/10/2017;ICFFUT;262,05;263,15;259,92;261,36; R$10.650.705,17 ;Neutral;3173
17/10/2017;ICFFUT;260,51;262,98;257,36;262,39; R$22.147.581,87 ;Neutral;3255
16/10/2017;ICFFUT;264,18;265,03;259,74;260; R$25.507.152,52 ;Neutral;3295
13/10/2017;ICFFUT;263,49;265,97;261,62;263,92; R$17.873.600,10 ;Neutral;3288
11/10/2017;ICFFUT;271,5;271,5;263,58;263,75; R$23.747.926,94 ;Neutral;3271
10/10/2017;ICFFUT;272,61;275,77;270,48;271,68; R$19.918.359,90 ;Neutral;3293
09/10/2017;ICFFUT;272,02;274,66;270,99;272,02; R$25.208.825,48 ;Neutral;3251
06/10/2017;ICFFUT;268,61;272,7;268,1;270,99; R$19.548.979,71 ;Neutral;3252
05/10/2017;ICFFUT;264,18;269,54;262,05;268,27; R$37.877.667,16 ;Neutral;3590
04/10/2017;ICFFUT;263,41;266,22;262,47;263,49; R$14.773.486,13 ;Neutral;3598
03/10/2017;ICFFUT;265,03;265,54;262,47;263,41; R$8.589.841,93 ;Neutral;3483
02/10/2017;ICFFUT;267,24;267,58;261,96;264,35; R$11.508.954,41 ;Sell;3533
29/09/2017;ICFFUT;267,07;269,12;265,03;267,07; R$13.392.315,96 ;Sell;3483
28/09/2017;ICFFUT;269,29;269,29;265,71;267,07; R$20.671.340,84 ;Sell;3478
27/09/2017;ICFFUT;274,4;275,94;268,35;268,44; R$22.086.875,80 ;Sell;3580
26/09/2017;ICFFUT;274,49;278,49;272,53;275; R$37.772.774,58 ;Sell;3682
25/09/2017;ICFFUT;280,79;281,65;274,06;274,49; R$18.460.164,11 ;Sell;3716
22/09/2017;ICFFUT;282,58;283,95;279,94;280,28; R$17.052.744,82 ;Sell;3748
21/09/2017;ICFFUT;284,63;286,59;280,62;282,58; R$20.383.067,86 ;Sell;3737
20/09/2017;ICFFUT;283,78;287,53;278,66;284,63; R$46.326.411,60 ;Sell;3804
19/09/2017;ICFFUT;293,49;293,58;282,84;283,09; R$41.750.381,59 ;Sell;3790
18/09/2017;ICFFUT;296,56;300,48;293,07;293,24; R$36.197.559,01 ;Sell;3946
15/09/2017;ICFFUT;288,55;297,07;288,21;296,73; R$36.128.874,91 ;Sell;4234
14/09/2017;ICFFUT;288,12;291,7;288,04;288,55; R$29.764.083,58 ;Buy;5209
13/09/2017;ICFFUT;283,69;290,42;282,92;288,97; R$30.412.584,18 ;Buy;5279
12/09/2017;ICFFUT;276,79;284,37;274,57;283,44; R$33.310.056,67 ;Buy;5421
11/09/2017;ICFFUT;273,89;276,96;272,7;276,79; R$24.615.037,36 ;Buy;5515
08/09/2017;ICFFUT;267,58;274,57;267,58;274,23; R$17.559.919,06 ;Buy;5639
06/09/2017;ICFFUT;270,4;270,99;265,54;268,27; R$29.060.754,36 ;Buy;6377
05/09/2017;ICFFUT;270,99;274,74;268,1;269,97; R$11.725.692,80 ;Buy;6375
04/09/2017;ICFFUT;271,42;272,7;269,29;270,14; R$1.545.998,09 ;Buy;6384
01/09/2017;ICFFUT;271,76;275,25;270,82;271,16; R$17.500.692,75 ;Buy;6410
31/08/2017;ICFFUT;269,2;271,85;266,65;270,99; R$9.833.074,02 ;Buy;6405
30/08/2017;ICFFUT;269,03;272,19;265,54;269,2; R$15.145.137,02 ;Buy;6398
29/08/2017;ICFFUT;272,61;272,7;266,65;268,1; R$8.162.177,43 ;Buy;6413
28/08/2017;ICFFUT;271,85;275,25;270,14;271,33; R$18.986.706,87 ;Buy;0
25/08/2017;ICFFUT;264,69;273,72;264,26;273,29; R$11.929.169,73 ;Buy;6281
